Verb,Глагол,/m/099t2,1994779
Vinnytsia,Винница,/m/04hwv7,1992572
Note,Нотная запись,/m/05jcn,1991760
Casserole,Кастрюля,/m/039jpz,1991744
Assassin's Creed,Assassin’s Creed,/m/076yyd4,1991600
Speech,Речь,/m/09x0r,1986965
Curtain,Шторы,/m/03rszm,1981260
Cheese,Сыр,/m/01nkt,1978611
Kikoriki,Смешарики,/m/02qpgfg,1978271
Weight,Вес,/m/085x_,1977685
Upper limb,Рука,/m/031vsn,1977224
Coin,Монета,/m/0242l,1976739
Voroniny,Воронины,/m/0ndsms5,1974412
Kiss,Поцелуй,/m/0db6d,1969658
Gomel,Гомель,/m/0159dz,1969301
Muscle,Мышцы,/m/04_fs,1964668
ESET NOD32,NOD32,/m/03trtg,1963765
Elysium,Элизиум,/m/0gwm_wy,1963519
Comics,Комикс,/m/012h24,1962831
Perfume,Духи,/m/0p833,1960916
Screenplay,Сценарий,/m/0lcvh,1952915
M.video,М.видео,/m/0b6cygd,1950912
GNU/Linux,Linux,/m/0fpzzp,1949408
October,Октябрь,/m/05lf_,1948852
French Language,Французский язык,/m/064_8sq,1943746
Floor,Пол,/m/0l7_8,1942962
Mushroom,Гриб,/m/052sf,1941125
Cough,Кашель,/m/01b_21,1940031
Porridge,Каша,/m/0k0mp,1938878
Symbol,Символ,/m/09ddf,1932369
Lion,Лев,/m/096mb,1926057
Rail transport,Железнодорожный транспорт,/m/06d_3,1916925
Samsung Galaxy S,Samsung Galaxy S,/m/0bmfjqn,1916715
Ringtone,Рингтон,/m/01hnzm,1915865
Meal,Питание,/m/0krfg,1911077
Tula,Тула,/m/017bwx,1909915
Percy Jackson & The Olympians,Перси Джексон и Олимпийцы,/m/07s5hrw,1906317
Internal combustion engine,Двигатель внутреннего сгорания,/m/03tpm,1905241
Penza,Пенза,/m/02h9pc,1903484
Star Wars,Звёздные войны,/m/06mmr,1903215
Luhansk,Луганск,/m/0428dx,1897909
Formula,Математическая формула,/m/015tl8,1895176
Lumia series,Nokia Lumia,/m/0j9k952,1891682
Audi,Audi,/m/0k50,1884132
WebMoney,WebMoney,/m/07nhrx,1882853
Rock music,Рок-музыка,/m/06by7,1882248
Lottery,Лотерея,/m/01h8pw,1878231
Video card,Видеокарта,/m/0syjz,1876480
Lada,Лада,/m/05fdj9,1875295
Kemerovo,Кемерово,/m/04clh,1872310
Bishkek,Бишкек,/m/01g9_,1872032
Mouth,Рот,/m/0283dt1,1868406
Sherlock Holmes,Шерлок Холмс,/m/06rkl,1868358
Ulyanovsk,Ульяновск,/m/025bf7,1867978
The Walking Dead Season 4,Ходячие мертвецы,/m/0v2z_35,1864416
Sevastopol,Севастополь,/m/0dlvj,1862286
Škoda Auto,Škoda Auto,/m/06psh,1860033
World War Z,Война миров Z,/m/0gyvj60,1855498
Spider-Man,Человек-паук,/m/06ys2,1855232
EPUB,Electronic Publication,/m/05n00zq,1854999
Tourist attraction,Достопримечательность,/m/0pgl9,1851085
Sun,Солнце,/m/06m_p,1849382
Passport,Паспорт,/m/05sv1,1847972
OS X,OS X,/m/055yr,1842867
Mykolaiv,Николаев,/m/03n7hk,1842439
Bead,Бисер,/m/015m2,1841438
The Mortal Instruments: City of Bones,Орудия смерти: Город костей,/m/0gy9xkk,1840925
Island,Остров,/m/03s0c,1837432
Résumé,Резюме,/m/01yrg2,1835131
Equus,Лошади,/m/05c607w,1832967
Surgut,Сургут,/m/06sn5d,1828501
Macintosh,Macintosh,/m/0zd6,1826952
Phrase,Фраза,/m/0c7tp,1826416
Krasnodar Krai,Краснодарский край,/m/02dw2c,1826254
Bird,Птицы,/m/015p6,1825518
"Honda Motor Company, Ltd",Honda,/m/03kr0,1825144
Electronic visual display,Монитор,/m/04ghdf9,1824522
Jeans,Джинсы,/m/0fly7,1820874
Cars,Тачки,/m/03q0r1,1820871
Honey,Мёд,/m/03qmh,1819027
Russian Post,Почта России,/m/0b7471,1818920
Roxelana,Роксолана,/m/01z6_5,1817969
Alcoholic beverage,Алкогольные напитки,/m/012mj,1813380
Cucurbita,Тыква,/m/012c4n,1812257
Acer Inc.,Acer,/m/023fm_,1806823
FC Zenit Saint Petersburg,ФК Зенит Санкт-Петербург,/m/03m6zs,1802262
Russia national football team,Сборная России по футболу,/m/03262k,1800903
Tolyatti,Тольятти,/m/02lz87,1799072
iPhone 4S,iPhone 4S,/m/0h6jq73,1797703
Menu,Меню,/m/024gjb,1795071
Ryazan,Рязань,/m/02g4sv,1793883
Hypertext Transfer Protocol,HTTP,/m/03hgt,1792984
iTunes,iTunes,/m/019g58,1792495
Tooth,Зуб,/m/0cnxs6x,1791180
Iron Man,Железный Человек,/m/0hnws,1790663
Triangle,Треугольник,/m/07jx7,1788082
Egg,Яйцо,/m/02g387,1787591
Percy Jackson: Sea of Monsters,Перси Джексон: Море чудовищ,/m/0d31rqr,1780163
Spain,Испания,/m/06mkj,1775702
Head,Голова,/m/04hgtk,1774574
Pork chop,Котлета,/m/05hc9_,1773533
LG Electronics,LG Electronics,/m/03068d,1771688
Casting,Кастинг,/m/050rdq,1771505
Dragon,Дракон,/m/02cp5,1770434
Cupboard,Шкаф,/m/0642b4,1765432
Light-emitting diode,Светодиод,/m/04myn,1765127
Beach,Пляж,/m/0b3yr,1764677
Baku,Баку,/m/01gf5,1762080
Idea,Идея,/m/015hcf,1759613
Music video,Музыкальный видеоклип,/m/0mdxd,1759379
1+1,1+1,/m/02726vr,1758965
Miley Cyrus,Майли Сайрус,/m/0bdxs5,1757702
Bollard,Прикол,/m/04xvcq,1752558
Alphabet,Алфавит,/m/0hwf,1751074
Incandescent light bulb,Лампа накаливания,/m/0cpk7,1750406
United Kingdom,Великобритания,/m/07ssc,1749181
Postal code,Почтовый индекс,/m/0dll7,1745040
"Monsters, Inc.",Корпорация монстров,/m/01c22t,1743391
Subway Surfers,Subway Surfers,/m/0kyvw1z,1741635
Tele2,Tele2,/m/05bxbn,1741557
Simulation,Симулятор,/m/0bwzm,1741539
Night,Ночь,/m/01d74z,1740744
Tver,Тверь,/m/020lqb,1738563
Tile,Кафель,/m/021w6f,1731081
Central heating,Отопление,/m/03chr7,1728183
Mazda,Mazda,/m/04x9h,1727756
PlayStation,PlayStation,/m/05zxk,1726974
Central processing unit,Процессор,/m/01lr2,1725448
Zaytsev+1,Зайцев+1,/m/0ndskv0,1723420
Web browser,Браузер,/m/082hp,1721575
HTC One series,HTC One,/m/0j9lv6s,1719871
2012,2012,/m/047vnkj,1719394
Army,Армия,/m/0pd7,1717757
C#,C Sharp,/m/07657k,1716504
Stomatology,Стоматология,/m/058fv9,1714779
Rostelecom,Ростелеком,/m/0kqhy0,1713171
"Nike, Inc.",Nike,/m/0lwkh,1712356
Pedagogy,Педагогика,/m/0268k7,1712342
Racetrack,Гонки,/m/018fl6,1711505
Israel,Израиль,/m/03spz,1710684
Property,Имущество,/m/05wrt,1705613
Blood pressure,Кровяное давление,/m/0fmq1,1702906
GeForce,GeForce,/m/0132b8,1700280
Ring,Кольцо,/m/09l0j_,1694760
Prose poetry,Стихотворение в прозе,/m/017k4z,1691943
Abdominal pain,Боли в области живота и таза,/m/02tfl8,1691672
Transformers,Вселенная трансформеров,/m/03dhbp,1691469
Pork,Свинина,/m/0frq6,1690324
Crimea,Крым,/m/0cr7m,1689811
Web page,Веб-страница,/m/086nh,1687094
Egg,Яйцо,/m/033cnk,1686667
Pipe,Труба,/m/09w9qp,1684951
Buttercream,Крем,/m/0b6w2z,1680631
UEFA Champions League,Лига чемпионов УЕФА,/m/0c1q0,1676299
STS,СТС,/m/026r99l,1673144
Football team,Футбольный клуб,/m/02xsf,1670683
Kyrgyzstan,Киргизия,/m/0jt3tjf,1669724
I Spit on Your Grave,Я плюю на ваши могилы,/m/09gb2r1,1667852
Smiley,Смайлик,/m/06n05,1667475
Marketing,Маркетинг,/m/0g4gr,1666312
iPhone 5c,iPhone 5c,/m/0w_gj2_,1666062
Great Patriotic War,Великая Отечественная война,/m/025rzfc,1665595
Zodiac,Зодиак,/m/088sv,1664826
IP address,IP-адрес,/m/03vms,1663920
Insidious,Астрал,/m/0c3ybss,1662554
Stavropol,Ставрополь,/m/02dvvr,1661455
Escape Plan,Могила,/m/0hz81ff,1660584
France national football team,Сборная Франции по футболу,/m/01l3vx,1654846
Europa Plus,Европа плюс,/m/0gj1_j,1654102
The Big Bang Theory,Теория большого взрыва,/m/02r5qtm,1650275
Kazakhs,Казахи,/m/01f0hl,1649804
Internet Protocol,IP,/m/03yqv,1649659
Russian proverbs,Русские пословицы и поговорки,/m/01zsz2,1646168
OJSC VimpelCom,Вымпел-Коммуникации,/m/0kfz9pc,1645663
Carcinoma,Карцинома,/m/01rr1s,1642233
Syndrome,Синдром,/m/01pgj4,1639866
Real Madrid C.F.,Реал Мадрид,/m/06l22,1639372
Share,Акция,/m/03jzl9,1636920
Sherlock,Шерлок,/m/053x8hr,1626314
Silver,Серебро,/m/025sf8x,1623439
Disc jockey,Диск-жокей,/m/02dsz,1621144
Code,Кодекс,/m/03qc9bc,1616733
Boiler,Паровой котёл,/m/017ssg,1616027
Lurkmore.to,Луркоморье,/m/0cc67gy,1615790
Eggplant,Баклажан,/m/0cdk2,1615722
The Hunger Games,Голодные игры,/m/0gkz15s,1614193
Tom and Jerry,Том и Джерри,/m/03k99c,1614065
Throat,Горло,/m/0mhy4,1609435
Murder,Убийство,/m/051_y,1609402
Latvia,Латвия,/m/04g5k,1608538
2014 Winter Olympics,Зимние Олимпийские игры 2014,/m/03mfdg,1606577
Egypt,Египет,/m/02k54,1605499
Twilight,Сумерки,/m/02z49wj,1604724
Pension,Пенсия,/m/0by51,1603729
Belgorod,Белгород,/m/02fdqr,1600482
Statistics,Статистика,/m/06mnr,1599614
Scorpio,Скорпион,/m/07bdjm,1599516
Sony Xperia,Xperia,/m/06w58cc,1598546
Magic,Магия,/m/0czwj,1597040
Model,Модель,/m/0d1pc,1596943
