name_en,translation,mid,frequency
Google Chrome,Google Chrome,/m/04j7cyf,2911291
Japan,Япония,/m/03_3d,2907353
Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,/m/02hk9c,2895919
GOST,Государственный стандарт,/m/07r0j5,2894670
SpongeBob SquarePants,Губка Боб Квадратные Штаны,/m/07vqnc,2892708
The Highway Code,Правила дорожного движения,/m/01mvkf,2885964
November,Ноябрь,/m/05cw8,2884817
Wine,Вино,/m/081qc,2884592
Camera,Фотоаппарат,/m/0dv5r,2880275
Jacket,Куртка,/m/032b3c,2869477
Orgasm,Оргазм,/m/05n5y,2863532
Concept,Понятие,/m/0203b,2861066
Theory,Теория,/m/07kk5,2858503
Visa,Виза,/m/01wtrk,2857177
Fifty Shades of Grey,Пятьдесят оттенков серого,/m/0j64xyy,2842364
Chevrolet,Chevrolet,/m/09xzd,2830072
Xbox 360,Xbox 360,/m/02plp2,2822090
Reading,Чтение,/m/04yclrg,2802836
Microsoft Office,Microsoft Office,/m/052zb,2800043
Russian Railways,Российские железные дороги,/m/0dx7sx,2799926
Physical fitness,Фитнес,/m/027x7n,2799417
Gas,Газ,/m/037xy,2798422
Market,Рынок,/m/09y4pm,2788036
Physician,Врач,/m/05t4q,2782698
Main Directorate for Road Traffic Safety,Департамент обеспечения безопасности дорожного движения МВД России,/m/027hvfl,2777969
Physical exercise,Физические упражнения,/m/019w6h,2773080
Handbag,Сумка,/m/080hkjn,2769948
Abstract,Реферат,/m/02ppws,2769435
FIFA,FIFA,/m/02_js1,2768051
USB flash drive,USB флеш-накопитель,/m/023s_v,2766241
C++,C++,/m/0jgqg,2757172
Ukraine national football team,Сборная Украины по футболу,/m/03ytp3,2752057
Azerbaijani language,Азербайджанский язык,/m/01bcw_,2750100
Sushi,Суши,/m/07030,2748446
Boxing,Бокс,/m/01cgz,2745053
Pornographic actor,Порноактеры,/m/0g7nc,2743703
Heart,Сердце,/m/095_n,2741235
Work of art,Произведение искусства,/m/07ppk6,2738180
Ubuntu,Ubuntu,/m/03x5qm,2731504
Pharmacy,Аптека,/m/01rfps,2722797
Weather forecasting,Прогноз погоды,/m/0jp7j,2721194
Class,Класс,/m/0gqpg,2718955
Stalingrad,Сталинград,/m/040s2y,2716244
Mass,Масса,/m/04t9l,2706905
Liver,Печень,/m/04p8w,2705058
Soundtrack,Саундтрек,/m/0l14gg,2703402
Café,Кафе,/m/025s4nn,2698291
Manufacturing,Производство,/m/09t4t,2694230
Racing video game,Автосимулятор,/m/01sjng,2688312
Tanki Online,Танки Онлайн,/m/07s84qp,2685002
The Walking Dead,Ходячие мертвецы,/m/0c3xpwy,2681899
Management,Менеджмент,/m/04_tv,2680543
Tomato,Томат,/m/07j87,2671269
Fur clothing,Шуба,/m/07c97b,2666881
PrivatBank,ПриватБанк,/m/0cgwr3,2666460
Riddick,Риддик,/m/034qdw,2663306
Lunar calendar,Лунный календарь,/m/04nh2,2663003
Learning,Обучение,/m/0191f8,2661970
Armenia,Армения,/m/0jgx,2658990
Italy,Италия,/m/03rjj,2651017
Harry Potter film series,Гарри Поттер (серия фильмов),/m/02676m4,2650701
Rapid transit,Метрополитен,/m/0195fx,2646080
Protein,Белки,/m/05wvs,2644135
Calorie,Калория,/m/01wv2,2639734
Uzbekistan,Узбекистан,/m/07t_x,2625879
Izhevsk,Ижевск,/m/0nk2k,2625378
Grand Theft Auto IV,Grand Theft Auto IV,/m/0722qs,2615918
Curriculum vitae,Резюме,/m/07kgs9_,2611550
Game of Thrones,Игра престолов,/m/0524b41,2611159
Father,Отец,/m/0lbxg,2606508
iPhone 4,iPhone 4,/m/0c0bg9c,2605718
India,Индия,/m/03rk0,2603167
Sea,Море,/m/06npx,2599569
Short story,Новелла,/m/0707q,2598201
Elektrichka,Электропоезд,/m/08pqz7,2595094
NTV,НТВ,/m/03xxvd,2583943
Sauces,Соус,/m/0grqz,2582063
Kazakh Language,Казахский язык,/m/0jfs6,2579780
Recreation,Отдых,/m/06bm2,2579717
Plastic,Пластмассы,/m/05z87,2577509
Hospital,Больница,/m/0hpnr,2576451
Vegetable,Овощи,/m/0f4s2w,2570580
Uzbeks,Узбеки,/m/07xns,2564195
Simferopol,Симферополь,/m/0310wb,2561074
Accumulator,Электрический аккумулятор,/m/09t4km,2556887
Company,Коммерческая организация,/m/03bxgrp,2556701
Window,Окно,/m/0d4v4,2555727
WhatsApp,WhatsApp,/m/0gwzvs1,2554775
FictionBook,FictionBook,/m/0c_c49,2549823
University college,Высшее учебное заведение,/m/01frx5,2546116
Divan,Диван,/m/0dsbf_,2544978
USB,USB,/m/07wcf,2543693
Fédération Internationale de Football Association,ФИФА,/m/02zm3,2532599
Information,Информация,/m/03y39,2531584
Svaty,Сваты,/m/0ndsl10,2527218
Manga,Манга,/m/04spm,2512610
Fishing,Рыбалка,/m/094jc,2506996
Equation,Уравнение,/m/02jnw,2499430
Masturbation,Мастурбация,/m/051pp,2499348
Orenburg,Оренбург,/m/02fxjq,2490635
Tea,Чай,/m/07clx,2487047
Syria,Сирия,/m/06vbd,2485421
Shopping mall,Торговый центр,/m/025s8bs,2485253
Sex,Пол организмов,/m/06ng1,2484757
Vladimir Putin,Владимир Владимирович Путин,/m/08193,2483943
Smartphone,Смартфон,/m/0169zh,2482823
Opel,Opel,/m/05kzl,2482174
Sign,Знак,/m/06zsq,2473414
Sex in film,Эротический фильм,/m/03l_6f,2467423
Melodrama,Мелодрама,/m/01lrrt,2465618
Glass,Стекло,/m/039jq,2462393
My Little Pony: Friendship Is Magic,Дружба — это чудо,/m/0czdsgs,2462316
Concert,Концерт,/m/01jddz,2462049
Astrological sign,Знаки зодиака,/m/0h6434d,2461646
Battle of Stalingrad,Сталинградская битва,/m/01cr3,2458930
Teachers' Day,День учителя,/m/02y11r,2455157
Prayer,Молитва,/m/0687y,2452378
Service,Услуга,/m/018tkd,2445682
Turkish Language,Турецкий язык,/m/02hwyss,2442715
Technology,Техника,/m/07c1v,2421440
Hunting,Охота,/m/09p5m,2420480
Kitchen,Кухня,/m/0d4wf,2417463
Doll,Кукла,/m/0167gd,2417151
Philips,Philips,/m/05w3y,2416445
Thailand,Таиланд,/m/07f1x,2413235
Country,Страна,/m/01lff,2409235
Google Play,Google Play,/m/05n02d2,2408205
PlayStation 3,PlayStation 3,/m/067gh,2404691
1C Company,1С,/m/08gy15,2394546
Banya,Баня,/m/08213z,2390367
Museum,Музей,/m/09cmq,2384559
Album,Музыкальный альбом,/m/02lx2r,2382918
Audiobook,Аудиокнига,/m/051gpf,2378417
Need for Speed,Need for Speed,/m/02ks74,2376938
Bed,Кровать,/m/03ssj5,2374725
IKEA,IKEA,/m/03tb1,2365472
Antivirus software,Антивирусная программа,/m/01np0n,2365300
Acid,Кислота,/m/0hqs,2362132
Wage,Заработная плата,/m/01_942,2360685
Gravitation,Гравитация,/m/09lw1,2359054
World of Warcraft,World of Warcraft,/m/021dvx,2356575
College,Колледж,/m/02p0qmm,2347747
Pressure,Давление,/m/05wnx,2340665
Wood,Древесина,/m/083vt,2339661
eBay,eBay,/m/0z90c,2322879
Hair conditioner,Бальзам-ополаскиватель,/m/03lydk,2313212
Sanatorium,Санаторий,/m/03rr61,2310775
Islam,Ислам,/m/0flw86,2303522
Cookie,Печенье,/m/021mn,2289301
Microsoft Excel,Microsoft Excel,/m/052tr,2286594
Printer,Принтер,/m/01m4t,2286495
Vitis,Виноград,/m/02vwksk,2284812
Barnaul,Барнаул,/m/02dw02,2280826
Kirov,Киров,/m/0151rl,2272508
Cascading Style Sheets,Каскадные таблицы стилей,/m/015tjh,2269340
KVN,Клуб Весёлых и Находчивых,/m/09_7xg,2268949
Paint,Краски,/m/05y4t,2266553
Polyclinic,Поликлиника,/m/04jpm7p,2266502
Unified State Exam,Единый государственный экзамен,/m/09v9lky,2264989
Vagina,Влагалище женщины,/m/07zgr,2264356
Cream,Крем,/m/08p92x,2264143
Metal,Металлы,/m/04t7l,2260651
Kyivstar,Киевстар,/m/06zk26,2257767
Application software,Прикладное программное обеспечение,/m/02bj4k,2247007
Species,Биологический вид,/m/06zf0,2243212
Font,Шрифт,/m/03gq5hm,2243022
Kuhnya,Кухня (телесериал),/m/0ndslv4,2240825
Marriage,Брачный союз,/m/04ztj,2240556
Riddick,Риддик,/m/0gxrd70,2239046
Knife,Нож,/m/04ctx,2234417
Pacific Rim,Тихоокеанский рубеж,/m/0h0yd81,2229769
Yaroslavl,Ярославль,/m/0196_0,2226425
Software cracking,Взлом программного обеспечения,/m/077d6,2226234
Dynamic-link library,Динамически подключаемая библиотека,/m/07yv9x,2225350
Overcoat,Пальто,/m/03tvvb,2222478
Ruble,Рубль,/m/025smh5,2222067
Poland,Польша,/m/05qhw,2221989
Tourism,Туризм,/m/07bxq,2221189
Construction,Строительство,/m/01jnzj,2216819
Health,Здоровье,/m/0kt51,2215850
Proverb,Пословица,/m/05vz1,2215591
Key,Ключ,/m/0dxyr,2211940
Planet,Планета,/m/05qc_,2206605
Kia Motors,Kia Motors,/m/01cytr,2206516
Ford Motor Company,Ford,/m/02zs4,2206395
Cell,Клетка,/m/01cbd,2205134
Rice,Рис,/m/09759,2202297
The Elder Scrolls,The Elder Scrolls,/m/01w1d3,2200881
Natural rubber,Резина,/m/09kmv,2198955
Monster,Монстр,/m/0h9qh,2197141
The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,/m/04gmzj,2197060
Fine,Штраф,/m/012qbl,2197030
Battlefield,Battlefield,/m/03f_kc,2190781
Batman,Бэтмен,/m/01d5g,2188531
Code,Код,/m/01lt2,2183499
Boy,Мальчик,/m/01bl7v,2181564
Profession,Профессия,/m/063km,2180421
Library,Библиотека,/m/04h8h,2179872
Xbox,Xbox,/m/0qffzrl,2174545
Value,Стоимость,/m/0bhr4z,2168646
Table,Стол,/m/04bcr3,2164612
Prose,Проза,/m/0dq0q,2161680
Crime,Преступление,/m/01rbb,2158876
Computer Science,Информатика,/m/01mkq,2158754
JavaScript,JavaScript,/m/02p97,2157262
Rapping,Рэперы,/m/06bxc,2151407
Registered user,Учётная запись,/m/026dh0x,2149351
Kievan Rus',Древнерусское государство,/m/0c81v,2149233
Mobile game,Игры для мобильных устройств,/m/04951x,2147150
Nose,Нос,/m/0k0pj,2146177
Traffic collision,Дорожно-транспортное происшествие,/m/08q1tg,2144818
The Fast and the Furious,Форсаж,/m/0czbbsz,2143871
Force,Сила,/m/02yc2,2143435
Russian passport,Заграничный паспорт гражданина Российской Федерации,/m/027nc60,2142877
Diary,Дневник (мемуары),/m/02gsv,2134089
Brassica,Капуста,/m/0qmh4,2130798
France,Франция,/m/0f8l9c,2125335
Chișinău,Кишинёв,/m/0fn77,2124984
Chocolate,Шоколад,/m/020vl,2123024
Bicycle,Велосипед,/m/0199g,2122804
Router,Маршрутизатор,/m/06f76,2121269
Wheel,Колесо,/m/083wq,2119736
Syrian civil war,Гражданская война в Сирии,/m/0gg506b,2114289
Gravity,Гравитация,/m/0g5rm7s,2112040
Insurance,Страхование,/m/03xks,2108461
Nvidia,Nvidia,/m/09rh_,2106993
Inter,Интер,/m/02pwf20,2106414
Karaoke,Караоке,/m/04c5p,2105029
Rim,Колесо,/m/047vmg8,2097867
Angel,Ангел,/m/0x6r,2096075
Kurtlar Vadisi,Долина волков,/m/0bj3_b,2090136
Ear,Ухо,/m/039xj_,2079319
Uterus,Матка женщины,/m/07v3r,2076014
Coat,пальто,/m/01xygc,2071706
"Nissan Motor Co., Ltd.",Nissan,/m/05b4c,2068936
jQuery,jQuery,/m/0268gyp,2064051
Misfits,Отбросы,/m/09gp_2k,2060386
Cunnilingus,Куннилингус,/m/025t5hz,2058251
HTML,HTML,/m/03g20,2057936
Pelmeni,Пельмени,/m/03cs9b,2045691
Oblast,Область,/m/019bl6,2043663
The Fixies,Фиксики,/m/0ndsktc,2037063
Ninja,Ниндзя,/m/0ck7l,2033170
Google Nexus,Google Nexus,/m/0hn9pm7,2030609
Embroidery,Вышивание,/m/02qfx,2029849
Ceiling,Перекрытие,/m/03gfsp,2025556
Organism,Организм,/m/05nnm,2023341
Download,Загрузка файлов,/m/0bm3b,2022614
Refrigerator,Холодильник,/m/040b_t,2021441
Ecology,Экология,/m/02mgp,2020084
Ani Lorak,Ани Лорак,/m/01q_j4y,2016377
Call of Duty,Call of Duty,/m/026wy8d,2016018
Novel,Роман,/m/05hgj,2015451
Rossiya 1,Россия-1,/m/0286qlv,2012735
Boot,Сапоги,/m/01b638,2012617
The Chronicles of Riddick,Хроники Риддика,/m/031gmx,2009818
FIFA 14,FIFA 14,/m/0t512fv,2008028
Accountancy,Бухгалтерский учёт,/m/0_jm,2007455
Leaf,Лист,/m/09t49,2005044
Smoking,Курение,/m/02vxs3q,1998318
Now You See Me,Иллюзия обмана,/m/0h8860l,1998272
Volkswagen Passenger Cars,Volkswagen,/m/07ywl,1997163
Verb,Глагол,/m/099t2,1994779
Vinnytsia,Винница,/m/04hwv7,1992572
Note,Нотная запись,/m/05jcn,1991760
Casserole,Кастрюля,/m/039jpz,1991744
Assassin's Creed,Assassin’s Creed,/m/076yyd4,1991600
Speech,Речь,/m/09x0r,1986965
Curtain,Шторы,/m/03rszm,1981260
Cheese,Сыр,/m/01nkt,1978611
Kikoriki,Смешарики,/m/02qpgfg,1978271
Weight,Вес,/m/085x_,1977685
Upper limb,Рука,/m/031vsn,1977224
Coin,Монета,/m/0242l,1976739
Voroniny,Воронины,/m/0ndsms5,1974412
Kiss,Поцелуй,/m/0db6d,1969658
Gomel,Гомель,/m/0159dz,1969301
Muscle,Мышцы,/m/04_fs,1964668
ESET NOD32,NOD32,/m/03trtg,1963765
Elysium,Элизиум,/m/0gwm_wy,1963519
Comics,Комикс,/m/012h24,1962831
Perfume,Духи,/m/0p833,1960916
Screenplay,Сценарий,/m/0lcvh,1952915
M.video,М.видео,/m/0b6cygd,1950912
GNU/Linux,Linux,/m/0fpzzp,1949408
October,Октябрь,/m/05lf_,1948852
French Language,Французский язык,/m/064_8sq,1943746
Floor,Пол,/m/0l7_8,1942962
Mushroom,Гриб,/m/052sf,1941125
Cough,Кашель,/m/01b_21,1940031
Porridge,Каша,/m/0k0mp,1938878
Symbol,Символ,/m/09ddf,1932369
Lion,Лев,/m/096mb,1926057
Rail transport,Железнодорожный транспорт,/m/06d_3,1916925
Samsung Galaxy S,Samsung Galaxy S,/m/0bmfjqn,1916715
Ringtone,Рингтон,/m/01hnzm,1915865
Meal,Питание,/m/0krfg,1911077
Tula,Тула,/m/017bwx,1909915
Percy Jackson & The Olympians,Перси Джексон и Олимпийцы,/m/07s5hrw,1906317
Internal combustion engine,Двигатель внутреннего сгорания,/m/03tpm,1905241
Penza,Пенза,/m/02h9pc,1903484
Star Wars,Звёздные войны,/m/06mmr,1903215
Luhansk,Луганск,/m/0428dx,1897909
Formula,Математическая формула,/m/015tl8,1895176
Lumia series,Nokia Lumia,/m/0j9k952,1891682
Audi,Audi,/m/0k50,1884132
WebMoney,WebMoney,/m/07nhrx,1882853
Rock music,Рок-музыка,/m/06by7,1882248
Lottery,Лотерея,/m/01h8pw,1878231
Video card,Видеокарта,/m/0syjz,1876480
Lada,Лада,/m/05fdj9,1875295
Kemerovo,Кемерово,/m/04clh,1872310
Bishkek,Бишкек,/m/01g9_,1872032
Mouth,Рот,/m/0283dt1,1868406
Sherlock Holmes,Шерлок Холмс,/m/06rkl,1868358
Ulyanovsk,Ульяновск,/m/025bf7,1867978
The Walking Dead Season 4,Ходячие мертвецы,/m/0v2z_35,1864416
Sevastopol,Севастополь,/m/0dlvj,1862286
Škoda Auto,Škoda Auto,/m/06psh,1860033
World War Z,Война миров Z,/m/0gyvj60,1855498
Spider-Man,Человек-паук,/m/06ys2,1855232
EPUB,Electronic Publication,/m/05n00zq,1854999
Tourist attraction,Достопримечательность,/m/0pgl9,1851085
Sun,Солнце,/m/06m_p,1849382
Passport,Паспорт,/m/05sv1,1847972
OS X,OS X,/m/055yr,1842867
Mykolaiv,Николаев,/m/03n7hk,1842439
Bead,Бисер,/m/015m2,1841438
The Mortal Instruments: City of Bones,Орудия смерти: Город костей,/m/0gy9xkk,1840925
Island,Остров,/m/03s0c,1837432
Résumé,Резюме,/m/01yrg2,1835131
Equus,Лошади,/m/05c607w,1832967
Surgut,Сургут,/m/06sn5d,1828501
Macintosh,Macintosh,/m/0zd6,1826952
Phrase,Фраза,/m/0c7tp,1826416
Krasnodar Krai,Краснодарский край,/m/02dw2c,1826254
Bird,Птицы,/m/015p6,1825518
"Honda Motor Company, Ltd",Honda,/m/03kr0,1825144
Electronic visual display,Монитор,/m/04ghdf9,1824522
Jeans,Джинсы,/m/0fly7,1820874
Cars,Тачки,/m/03q0r1,1820871
Honey,Мёд,/m/03qmh,1819027
Russian Post,Почта России,/m/0b7471,1818920
Roxelana,Роксолана,/m/01z6_5,1817969
Alcoholic beverage,Алкогольные напитки,/m/012mj,1813380
Cucurbita,Тыква,/m/012c4n,1812257
Acer Inc.,Acer,/m/023fm_,1806823
FC Zenit Saint Petersburg,ФК Зенит Санкт-Петербург,/m/03m6zs,1802262
Russia national football team,Сборная России по футболу,/m/03262k,1800903
Tolyatti,Тольятти,/m/02lz87,1799072
iPhone 4S,iPhone 4S,/m/0h6jq73,1797703
Menu,Меню,/m/024gjb,1795071
Ryazan,Рязань,/m/02g4sv,1793883
Hypertext Transfer Protocol,HTTP,/m/03hgt,1792984
iTunes,iTunes,/m/019g58,1792495
Tooth,Зуб,/m/0cnxs6x,1791180
Iron Man,Железный Человек,/m/0hnws,1790663
Triangle,Треугольник,/m/07jx7,1788082
Egg,Яйцо,/m/02g387,1787591
Percy Jackson: Sea of Monsters,Перси Джексон: Море чудовищ,/m/0d31rqr,1780163
Spain,Испания,/m/06mkj,1775702
Head,Голова,/m/04hgtk,1774574
Pork chop,Котлета,/m/05hc9_,1773533
LG Electronics,LG Electronics,/m/03068d,1771688
Casting,Кастинг,/m/050rdq,1771505
Dragon,Дракон,/m/02cp5,1770434
Cupboard,Шкаф,/m/0642b4,1765432
Light-emitting diode,Светодиод,/m/04myn,1765127
Beach,Пляж,/m/0b3yr,1764677
Baku,Баку,/m/01gf5,1762080
Idea,Идея,/m/015hcf,1759613
Music video,Музыкальный видеоклип,/m/0mdxd,1759379
1+1,1+1,/m/02726vr,1758965
Miley Cyrus,Майли Сайрус,/m/0bdxs5,1757702
Bollard,Прикол,/m/04xvcq,1752558
Alphabet,Алфавит,/m/0hwf,1751074
Incandescent light bulb,Лампа накаливания,/m/0cpk7,1750406
United Kingdom,Великобритания,/m/07ssc,1749181
Postal code,Почтовый индекс,/m/0dll7,1745040
"Monsters, Inc.",Корпорация монстров,/m/01c22t,1743391
Subway Surfers,Subway Surfers,/m/0kyvw1z,1741635
Tele2,Tele2,/m/05bxbn,1741557
Simulation,Симулятор,/m/0bwzm,1741539
Night,Ночь,/m/01d74z,1740744
Tver,Тверь,/m/020lqb,1738563
Tile,Кафель,/m/021w6f,1731081
Central heating,Отопление,/m/03chr7,1728183
Mazda,Mazda,/m/04x9h,1727756
PlayStation,PlayStation,/m/05zxk,1726974
Central processing unit,Процессор,/m/01lr2,1725448
Zaytsev+1,Зайцев+1,/m/0ndskv0,1723420
Web browser,Браузер,/m/082hp,1721575
HTC One series,HTC One,/m/0j9lv6s,1719871
2012,2012,/m/047vnkj,1719394
Army,Армия,/m/0pd7,1717757
C#,C Sharp,/m/07657k,1716504
Stomatology,Стоматология,/m/058fv9,1714779
Rostelecom,Ростелеком,/m/0kqhy0,1713171
"Nike, Inc.",Nike,/m/0lwkh,1712356
Pedagogy,Педагогика,/m/0268k7,1712342
Racetrack,Гонки,/m/018fl6,1711505
Israel,Израиль,/m/03spz,1710684
Property,Имущество,/m/05wrt,1705613
Blood pressure,Кровяное давление,/m/0fmq1,1702906
GeForce,GeForce,/m/0132b8,1700280
Ring,Кольцо,/m/09l0j_,1694760
Prose poetry,Стихотворение в прозе,/m/017k4z,1691943
Abdominal pain,Боли в области живота и таза,/m/02tfl8,1691672
Transformers,Вселенная трансформеров,/m/03dhbp,1691469
Pork,Свинина,/m/0frq6,1690324
Crimea,Крым,/m/0cr7m,1689811
Web page,Веб-страница,/m/086nh,1687094
Egg,Яйцо,/m/033cnk,1686667
Pipe,Труба,/m/09w9qp,1684951
Buttercream,Крем,/m/0b6w2z,1680631
UEFA Champions League,Лига чемпионов УЕФА,/m/0c1q0,1676299
STS,СТС,/m/026r99l,1673144
Football team,Футбольный клуб,/m/02xsf,1670683
Kyrgyzstan,Киргизия,/m/0jt3tjf,1669724
I Spit on Your Grave,Я плюю на ваши могилы,/m/09gb2r1,1667852
Smiley,Смайлик,/m/06n05,1667475
Marketing,Маркетинг,/m/0g4gr,1666312
iPhone 5c,iPhone 5c,/m/0w_gj2_,1666062
Great Patriotic War,Великая Отечественная война,/m/025rzfc,1665595
Zodiac,Зодиак,/m/088sv,1664826
IP address,IP-адрес,/m/03vms,1663920
Insidious,Астрал,/m/0c3ybss,1662554
Stavropol,Ставрополь,/m/02dvvr,1661455
Escape Plan,Могила,/m/0hz81ff,1660584
France national football team,Сборная Франции по футболу,/m/01l3vx,1654846
Europa Plus,Европа плюс,/m/0gj1_j,1654102
The Big Bang Theory,Теория большого взрыва,/m/02r5qtm,1650275
Kazakhs,Казахи,/m/01f0hl,1649804
Internet Protocol,IP,/m/03yqv,1649659
Russian proverbs,Русские пословицы и поговорки,/m/01zsz2,1646168
OJSC VimpelCom,Вымпел-Коммуникации,/m/0kfz9pc,1645663
Carcinoma,Карцинома,/m/01rr1s,1642233
Syndrome,Синдром,/m/01pgj4,1639866
Real Madrid C.F.,Реал Мадрид,/m/06l22,1639372
Share,Акция,/m/03jzl9,1636920
Sherlock,Шерлок,/m/053x8hr,1626314
Silver,Серебро,/m/025sf8x,1623439
Disc jockey,Диск-жокей,/m/02dsz,1621144
Code,Кодекс,/m/03qc9bc,1616733
Boiler,Паровой котёл,/m/017ssg,1616027
Lurkmore.to,Луркоморье,/m/0cc67gy,1615790
Eggplant,Баклажан,/m/0cdk2,1615722
The Hunger Games,Голодные игры,/m/0gkz15s,1614193
Tom and Jerry,Том и Джерри,/m/03k99c,1614065
Throat,Горло,/m/0mhy4,1609435
Murder,Убийство,/m/051_y,1609402
Latvia,Латвия,/m/04g5k,1608538
2014 Winter Olympics,Зимние Олимпийские игры 2014,/m/03mfdg,1606577
Egypt,Египет,/m/02k54,1605499
Twilight,Сумерки,/m/02z49wj,1604724
Pension,Пенсия,/m/0by51,1603729
Belgorod,Белгород,/m/02fdqr,1600482
Statistics,Статистика,/m/06mnr,1599614
Scorpio,Скорпион,/m/07bdjm,1599516
Sony Xperia,Xperia,/m/06w58cc,1598546
Magic,Магия,/m/0czwj,1597040
Model,Модель,/m/0d1pc,1596943
